Customer No.	Exposure at Default (in lakh Rs.)	 Recovery (%) 	Probability of Default
7523	8.2	 0.32 	0.0014
7524	23.58	 0.15 	0.0019
7525	18.82	 0.06 	0.0043
7526	21.74	 0.12 	0.0089
7527	19.52	 0.26 	0.0038
7528	0.3	 0.36 	0.0085
7529	24.68	 0.30 	0.0003
7530	16.87	 0.15 	0.0064
7531	6.67	 0.35 	0.0081
7532	5.53	 0.37 	0.0045
7533	7.68	 0.37 	0.0049
7534	6.51	 0.35 	0.0012
7535	15.88	 0.06 	0.0012
7536	10.79	 0.10 	0.0084
7537	6.92	 0.35 	0.0024
7538	21.77	 0.08 	0.0071
7539	6.14	 0.29 	0.0069
7540	17.82	 0.24 	0.003
7541	2.46	 0.32 	0.0024
7542	23.78	 0.11 	0.0017
7543	13.52	 0.37 	0.0045
7544	4.79	 0.07 	0.007
7545	12.47	 0.07 	0.0024
7546	24.42	 0.13 	0.0038
7547	11.43	 0.34 	0.0006
7548	1.15	 0.28 	0.001
7549	23.68	 0.20 	0.0071
7550	7.94	 0.07 	0.0086
7551	8.6	 0.02 	0.0028
7552	4.56	 0.02 	0.0056
7553	14.99	 0.19 	0.0083
7554	1.88	 0.36 	0.0089
7555	17.52	 0.12 	0.0041
7556	12.87	 0.21 	0.007
7557	12.81	 0.12 	0.0069
7558	24.3	 0.27 	0.0028
7559	1.28	 0.40 	0.0036
7560	13.98	 0.18 	0.0029
7561	10.52	 0.09 	0.0099
7562	9.48	 0.32 	0.006
7563	23.31	 0.09 	0.0083
7564	7.72	 0.38 	0.0057
7565	21.66	 0.05 	0.0043
7566	6.5	 0.40 	0.0033
7567	5.03	 0.19 	0.0056
7568	12.23	 0.33 	0.0056
7569	12.96	 0.34 	0.0041
7570	7.71	 0.32 	0.0038
7571	24.67	 0.22 	0.0093
7572	24.23	 0.02 	0.0049
7573	7.39	 0.33 	0.0026
7574	14.55	 0.20 	0.0057
7575	13.32	 0.26 	0.0017
7576	21.89	 0.34 	0.0055
7577	23.85	 0.11 	0.0047
7578	18	 0.13 	0.0034
7579	6.83	 0.01 	0.0046
7580	13.43	 0.29 	0.0037
7581	11.16	 0.06 	0.0024
7582	10.49	 0.10 	0.002
7583	18.83	 0.30 	0.0006
7584	1.09	 0.34 	0.0038
7585	15.25	 0.16 	0.0051
7586	23.14	 0.01 	0.0046
7587	17.59	 0.00 	0.0018
7588	5.23	 0.12 	0.0002
7589	0.33	 0.07 	0.0011
7590	24.08	 0.01 	0.0035
7591	0.94	 0.07 	0.0071
7592	12.43	 0.20 	0.0099
7593	20.12	 0.05 	0.0097
7594	8.5	 0.33 	0.0037
7595	13.56	 0.29 	0.0057
7596	10.83	 0.30 	0.0091
7597	24.9	 0.24 	0.0009
7598	23.13	 0.22 	0.0007
7599	21.59	 0.13 	0.0049
7600	8.38	 0.17 	0.0097
7601	12.08	 0.09 	0.0085
7602	1.09	 0.38 	0.0028
7603	13.28	 0.16 	0.0068
7604	14.27	 0.12 	0.005
7605	18.89	 0.09 	0.0086
7606	3.38	 0.03 	0.0066
7607	2.84	 0.22 	0.0015
7608	16.14	 0.18 	0.0089
7609	8.06	 0.27 	0.0024
7610	15.83	 0.37 	0.0047
7611	16.55	 0.17 	0.0008
7612	15.53	 0.22 	0.0051
7613	24.71	 0.24 	0.0062
7614	3.08	 0.07 	0.006
7615	10.94	 0.06 	0.0063
7616	8.91	 0.07 	0.0079
7617	1.24	 0.02 	0.0064
7618	14.65	 0.18 	0.0066
7619	7.61	 0.26 	0.0074
7620	23.61	 0.23 	0.0061
7621	19.84	 0.28 	0.0035
7622	4.28	 0.33 	0.009
7623	14.01	 0.39 	0.0037
7624	22.93	 0.19 	0.0045
7625	24.53	 0.30 	0.0045
7626	10.21	 0.12 	0
7627	23.06	 0.12 	0.0022
7628	20.91	 0.30 	0.0047
7629	15.43	 0.35 	0.0077
7630	10.26	 0.21 	0.0014
7631	9.93	 0.07 	0.0069
7632	9.47	 0.25 	0.0067
7633	7.04	 0.18 	0.0088
7634	7.03	 0.25 	0.0008
7635	24.57	 0.05 	0.0024
7636	10.97	 0.02 	0.0086
7637	11.03	 0.07 	0.0054
7638	9.99	 0.07 	0.0083
7639	9.68	 0.21 	0.0013
7640	8.33	 0.21 	0.0008
7641	14.78	 0.19 	0.0037
7642	15.97	 0.27 	0.0003
7643	0.42	 0.39 	0.0015
7644	16.23	 0.34 	0.0065
7645	3.21	 0.31 	0.0038
7646	4.36	 0.21 	0.004
7647	14.33	 0.02 	0.0091
7648	23.01	 0.21 	0.0046
7649	17.31	 0.36 	0.0036
7650	11.63	 0.10 	0.0088
7651	8.9	 0.01 	0.0023
7652	13.04	 0.27 	0.0013
7653	4.99	 0.13 	0.0077
7654	22.81	 0.13 	0.0033
7655	11.66	 0.01 	0.008
7656	11.97	 0.23 	0.0025
7657	13.94	 0.23 	0.0034
7658	2.1	 0.02 	0.0074
7659	13.55	 0.33 	0.0084
7660	24.84	 0.21 	0.0067
7661	14.32	 0.03 	0.0092
7662	14.62	 0.37 	0.0069
7663	14.2	 0.06 	0.0089
7664	13.69	 0.02 	0.0029
7665	16.59	 0.38 	0.0024
7666	12.97	 0.17 	0.0064
7667	12.28	 0.01 	0.0055
7668	19.8	 0.07 	0.0066
7669	17.44	 0.23 	0.0052
7670	7.38	 0.09 	0.0085
7671	1.85	 0.31 	0.0025
7672	21.23	 0.38 	0.0004
7673	4.99	 0.30 	0.0022
7674	19.02	 0.15 	0.0098
7675	4.13	 0.27 	0.009
7676	10.16	 0.14 	0.0029
7677	7.01	 0.27 	0.0001
7678	17.25	 0.00 	0.006
7679	10.66	 0.05 	0.0043
7680	11.54	 0.39 	0.0063
7681	16.85	 0.18 	0.0095
7682	4.07	 0.03 	0.0095
7683	20.96	 0.15 	0.0093
7684	21.63	 0.13 	0.0096
7685	23.26	 0.37 	0.0027
7686	16.23	 0.22 	0.0037
7687	12.69	 0.26 	0.0027
7688	21.9	 0.27 	0.0002
7689	0.51	 0.39 	0.0024
7690	20.78	 0.29 	0.0036
7691	23.37	 0.16 	0.0048
7692	3.32	 0.28 	0.0086
7693	8.7	 0.22 	0.0058
7694	14.11	 0.25 	0.0066
7695	22.63	 0.22 	0.0049
7696	6.54	 0.29 	0.004
7697	23.45	 0.30 	0.0029
7698	10.35	 0.20 	0.0078
7699	2.17	 0.24 	0.0059
7700	20.95	 0.32 	0.0043
7701	11.33	 0.16 	0.0092
7702	1.98	 0.30 	0.006
7703	19.83	 0.21 	0
7704	3.81	 0.25 	0.0082
7705	13.91	 0.24 	0.0099
7706	16.87	 0.24 	0.0015
7707	22.27	 0.38 	0.0057
7708	5.03	 0.29 	0.0064
7709	14.99	 0.15 	0.0086
7710	14.65	 0.33 	0.0053
7711	10.37	 0.29 	0.0034
7712	24.94	 0.23 	0.0097
7713	8.23	 0.07 	0.008
7714	18.19	 0.12 	0.0097
7715	14.71	 0.19 	0.0099
7716	21.74	 0.19 	0.0065
7717	18.43	 0.15 	0.0026
7718	23.77	 0.14 	0.0071
7719	18.09	 0.24 	0.0046
7720	10.18	 0.08 	0.0088
7721	10.18	 0.08 	0.0014
7722	4.9	 0.26 	0.0047
7723	1.58	 0.29 	0.0056
7724	22.84	 0.05 	0.0065
7725	1.24	 0.00 	0.0025
7726	23.05	 0.25 	0.0016
7727	3.27	 0.02 	0.0009
7728	22.5	 0.32 	0.0014
7729	15.29	 0.24 	0.0078
7730	9.16	 0.01 	0.0074
7731	11.79	 0.19 	0.0052
7732	9.14	 0.04 	0.0015
7733	18.59	 0.20 	0.0018
7734	2.15	 0.36 	0.0031
7735	23.78	 0.37 	0.0097
7736	9.91	 0.15 	0
7737	6.46	 0.40 	0.0025
7738	13.54	 0.26 	0.0094
7739	14.41	 0.16 	0.0016
7740	14.4	 0.08 	0.0018
7741	3.15	 0.17 	0.0036
7742	5.37	 0.25 	0.0061
7743	0.63	 0.12 	0.0076
7744	9.13	 0.15 	0.0033
7745	17.4	 0.10 	0.0053
7746	9.36	 0.40 	0.0047
7747	10.71	 0.07 	0.0012
7748	3.15	 0.03 	0.0017
7749	10.96	 0.38 	0.0061
7750	21.36	 0.21 	0.005
7751	2.25	 0.22 	0.0058
7752	13.06	 0.10 	0.0052
7753	9.51	 0.24 	0.0055
7754	2.39	 0.36 	0.0044
7755	16.52	 0.36 	0.0004
7756	17.48	 0.09 	0.0053
7757	11.38	 0.33 	0.001
7758	0.08	 0.07 	0.0054
7759	0.63	 0.03 	0.0055
7760	7.93	 0.38 	0.0012
7761	14.94	 0.35 	0.0044
7762	20.03	 0.33 	0.0023
7763	5.35	 0.32 	0.0006
7764	18.12	 0.33 	0.0067
7765	1.13	 0.19 	0.0055
7766	18.89	 0.07 	0.0015
7767	1.02	 0.26 	0.0077
7768	9.51	 0.27 	0.0055
7769	15.84	 0.14 	0.0004
7770	11.36	 0.24 	0.0012
7771	21.74	 0.13 	0.0047
7772	7.94	 0.36 	0.0069
7773	22.1	 0.03 	0.0083
7774	22.36	 0.33 	0.0032
7775	17.21	 0.20 	0.0058
7776	17.13	 0.26 	0.0054
7777	17.64	 0.39 	0.0085
7778	5.88	 0.33 	0.0089
7779	22.85	 0.33 	0.0089
7780	17.66	 0.20 	0.0082
7781	15.14	 0.18 	0.0071
7782	11.32	 0.39 	0.0074
7783	24.42	 0.32 	0.0075
7784	11.37	 0.30 	0.0047
7785	3.04	 0.27 	0.0012
7786	2.36	 0.01 	0.0013
7787	8.58	 0.05 	0.0074
7788	8.82	 0.07 	0.0006
7789	18.75	 0.09 	0.0027
7790	10.86	 0.03 	0.0024
7791	3.09	 0.38 	0.0021
7792	9.32	 0.10 	0.0039
7793	0.28	 0.30 	0.0077
7794	17.27	 0.25 	0.0086
7795	17.12	 0.25 	0.007
7796	12.44	 0.07 	0.0085
7797	11.94	 0.25 	0.0041
7798	16.07	 0.18 	0.0067
7799	1.17	 0.17 	0.0076
7800	24.09	 0.24 	0.0079
7801	14.73	 0.16 	0.0045
7802	17.7	 0.36 	0.0084
7803	13.01	 0.08 	0.0024
7804	2.07	 0.37 	0.0048
7805	19.36	 0.28 	0.0047
7806	17	 0.25 	0.0014
7807	18.87	 0.35 	0.0057
7808	13.02	 0.21 	0.0011
7809	9.15	 0.10 	0.0007
7810	14.54	 0.07 	0.0021
7811	20.13	 0.06 	0.0067
7812	24.26	 0.30 	0.0092
7813	11.71	 0.05 	0.0082
7814	16.77	 0.19 	0.0047
7815	4.61	 0.29 	0.0056
7816	21.49	 0.39 	0.008
7817	6.86	 0.10 	0.0071
7818	11.05	 0.28 	0.0022
7819	1.95	 0.02 	0.0013
7820	0.82	 0.01 	0.0012
7821	18.98	 0.19 	0.0075
7822	0.1	 0.15 	0.0083
7823	12.58	 0.14 	0.0037
7824	3.48	 0.26 	0.0032
7825	13.95	 0.03 	0.0023
7826	12.59	 0.13 	0.0072
7827	17.07	 0.32 	0.0042
7828	22.2	 0.31 	0.0036
7829	15.86	 0.10 	0.0003
7830	8.68	 0.21 	0.0083
7831	2.51	 0.20 	0.003
7832	6.18	 0.20 	0.005
7833	5.99	 0.21 	0.0082
7834	0.63	 0.40 	0.0023
7835	6.76	 0.24 	0.0083
7836	11.76	 0.22 	0.0028
7837	6.75	 0.06 	0.0065
7838	18.69	 0.22 	0.0043
7839	3.03	 0.18 	0.0006
7840	7.02	 0.08 	0.0082
7841	12.1	 0.35 	0.0099
7842	23.08	 0.02 	0.0014
7843	8.48	 0.30 	0.002
7844	23.54	 0.02 	0.0094
7845	21.76	 0.07 	0.0046
7846	13.89	 0.19 	0.0054
7847	5.75	 0.28 	0.0009
7848	10.41	 0.02 	0.0004
7849	23.49	 0.03 	0.0074
7850	4.17	 0.28 	0.0053
7851	2.92	 0.31 	0.0063
7852	5.27	 0.21 	0.0046
7853	3.5	 0.11 	0.0073
7854	6.58	 0.23 	0.0087
7855	10.38	 0.23 	0.0017
7856	8.84	 0.20 	0.0082
7857	19.07	 0.09 	0.0055
7858	0.67	 0.07 	0.0074
7859	17.82	 0.20 	0.0069
7860	13.6	 0.06 	0.0033
7861	10.05	 0.16 	0.0073
7862	7.69	 0.04 	0.0079
7863	10.82	 0.22 	0.0011
7864	16.83	 0.30 	0.0009
7865	2.57	 0.16 	0.0052
7866	10.49	 0.20 	0.0088
7867	17.3	 0.38 	0.0094
7868	3.55	 0.22 	0.0087
7869	2	 0.04 	0.0001
7870	7.44	 0.26 	0.001
7871	13.81	 0.16 	0.0081
7872	11.95	 0.35 	0.0056
7873	0.27	 0.33 	0.0011
7874	11.93	 0.08 	0.0012
7875	13.96	 0.25 	0.0072
7876	24.08	 0.06 	0.003
7877	10.89	 0.07 	0.0076
7878	14.34	 0.34 	0.0078
7879	4.27	 0.05 	0.0008
7880	15.53	 0.05 	0.0011
7881	24.09	 0.38 	0.0033
7882	8.84	 0.32 	0.0034
7883	22.78	 0.15 	0.002
7884	14.92	 0.29 	0.0038
7885	24.56	 0.25 	0.0012
7886	10.12	 0.01 	0.0025
7887	14.4	 0.02 	0.0088
7888	10.63	 0.05 	0.0048
7889	14.98	 0.13 	0.0055
7890	17.53	 0.09 	0.0009
7891	22.43	 0.29 	0.0019
7892	1.8	 0.18 	0.0042
7893	6.82	 0.33 	0.009
7894	21.03	 0.38 	0.0025
7895	11.98	 0.21 	0.0044
7896	9.09	 0.03 	0.002
7897	18.79	 0.01 	0.0091
7898	20.3	 0.30 	0.0018
7899	19.21	 0.23 	0.0024
7900	10.92	 0.03 	0.0022
7901	7.63	 0.17 	0.0087
7902	16.77	 0.23 	0.0093
7903	5.15	 0.22 	0.0098
7904	17.23	 0.21 	0.0068
7905	19.95	 0.06 	0.0082
7906	13.93	 0.30 	0.0069
7907	1.93	 0.03 	0.0076
7908	11.87	 0.05 	0.0076
7909	20.61	 0.07 	0.0061
7910	23.9	 0.03 	0.0072
7911	3.91	 0.23 	0.0057
7912	2.79	 0.04 	0.0005
7913	12.27	 0.14 	0.0067
7914	6.26	 0.31 	0.0082
7915	8.78	 0.23 	0.0008
7916	8.81	 0.01 	0.0087
7917	9.97	 0.16 	0.0005
7918	3.13	 0.09 	0.0076
7919	9.43	 0.33 	0.0059
7920	3.46	 0.04 	0.0096
7921	2.15	 0.15 	0.0025
7922	22.42	 0.36 	0.0018
7923	20.26	 0.28 	0.0076
7924	21.38	 0.33 	0.0035
7925	10.06	 0.18 	0.0033
7926	0.64	 0.33 	0.0095
7927	3.21	 0.02 	0.0069
7928	15.45	 0.11 	0.0058
7929	8.09	 0.11 	0.0054
7930	14.88	 0.37 	0.0009
7931	9.43	 0.03 	0.0035
7932	1.64	 0.27 	0.0043
7933	22.23	 0.13 	0.0004
7934	17.75	 0.02 	0.0013
7935	7.62	 0.26 	0.0049
7936	2.11	 0.13 	0.0057
7937	20.86	 0.09 	0.009
7938	22.31	 0.04 	0.0098
7939	13.07	 0.35 	0.0089
7940	4.45	 0.36 	0.0023
7941	14.49	 0.29 	0.0005
7942	3.49	 0.22 	0.004
7943	14	 0.09 	0.0072
7944	3.3	 0.33 	0.006
7945	19.79	 0.36 	0.0064
7946	10.04	 0.37 	0.0064
7947	13.66	 0.06 	0.0049
7948	21.59	 0.06 	0.0049
7949	9.3	 0.27 	0.0037
7950	23.91	 0.39 	0.0024
7951	2	 0.04 	0.0043
7952	8.79	 0.01 	0.0056
7953	11.46	 0.36 	0.0031
7954	4.44	 0.13 	0.0072
7955	0.37	 0.37 	0.0001
7956	13.77	 0.16 	0.0055
7957	15.14	 0.30 	0.0031
7958	3.3	 0.14 	0.0038
7959	5.36	 0.20 	0.0051
7960	20.92	 0.29 	0.0074
7961	7.18	 0.07 	0.0037
7962	19.24	 0.27 	0.0011
7963	11.34	 0.34 	0.0006
7964	2.81	 0.35 	0.0041
7965	1.08	 0.01 	0.0063
7966	15.21	 0.09 	0.0048
7967	4.27	 0.05 	0.0088
7968	13.77	 0.11 	0.0062
7969	1.04	 0.20 	0.0014
7970	1.35	 0.27 	0.0059
7971	11.52	 0.24 	0.0082
7972	21.83	 0.23 	0.0092
7973	25	 0.09 	0.0084
7974	15.12	 0.07 	0.0038
7975	9.51	 0.10 	0.0046
7976	19.49	 0.24 	0.0048
7977	12.14	 0.16 	0.0004
7978	22.17	 0.37 	0.0015
7979	7.72	 0.08 	0.0064
7980	8.37	 0.39 	0.0022
7981	5.35	 0.33 	0.0042
7982	21.19	 0.19 	0.0075
7983	17.67	 0.20 	0.0066
7984	10.05	 0.02 	0.0004
7985	23.16	 0.21 	0.0025
7986	2.63	 0.24 	0.0067
7987	21.02	 0.08 	0.0076
7988	23.69	 0.03 	0.0089
7989	15.17	 0.31 	0.0044
7990	23.68	 0.14 	0.0098
7991	12.17	 0.32 	0.0007
7992	12.65	 0.34 	0.0055
7993	8.43	 0.21 	0.0015
7994	1.7	 0.12 	0.0095
7995	19.51	 0.06 	0.0018
7996	1.09	 0.24 	0.0073
7997	13.62	 0.22 	0.0072
7998	1.31	 0.37 	0.0071
7999	14.21	 0.02 	0.0097
8000	7.09	 0.33 	0.0072
8001	3.09	 0.09 	0.0067
8002	11.69	 0.39 	0.0058
8003	5.26	 0.05 	0.0017
8004	14.12	 0.09 	0.0049
8005	18.95	 0.13 	0.0053
8006	5.02	 0.10 	0.0056
8007	4.72	 0.16 	0.0009
8008	22.04	 0.19 	0.0039
8009	15.35	 0.19 	0.0032
8010	1.46	 0.26 	0.0055
8011	7.8	 0.25 	0.0085
8012	19.28	 0.39 	0.0073
8013	17.28	 0.24 	0.0098
8014	20.6	 0.28 	0.0008
8015	21.96	 0.30 	0.0084
8016	7.67	 0.00 	0.0018
8017	9.99	 0.04 	0.0002
8018	23.53	 0.31 	0.0004
8019	1.5	 0.29 	0.0065
8020	18.78	 0.05 	0.0016
8021	2.88	 0.01 	0.0058
8022	24.52	 0.08 	0.001
8023	10.86	 0.18 	0.0071
8024	2.53	 0.12 	0.005
8025	0.91	 0.06 	0.0031
8026	14.93	 0.09 	0.0008
8027	14.29	 0.38 	0.0031
8028	12	 0.06 	0.009
8029	6.08	 0.29 	0.0068
8030	21.86	 0.25 	0.007
8031	22.05	 0.16 	0.0046
8032	12.37	 0.13 	0.0064
8033	7.4	 0.13 	0.0087
8034	9.3	 0.18 	0.0052
8035	20.49	 0.13 	0.0073
8036	8.08	 0.10 	0.0029
8037	11.73	 0.22 	0.0039
8038	5.92	 0.20 	0.0096
8039	14.12	 0.36 	0.0093
8040	2.41	 0.23 	0.0071
8041	5.96	 0.20 	0.0034
8042	14.53	 0.19 	0.0036
8043	21.54	 0.34 	0.0049
8044	5.84	 0.27 	0.0031
8045	14.26	 0.07 	0.0058
8046	17.56	 0.18 	0.0072
8047	4.95	 0.00 	0.0033
8048	9.27	 0.23 	0.0074
8049	21.36	 0.21 	0.0062
8050	4.07	 0.14 	0.0055
8051	1.61	 0.11 	0.0017
8052	23.8	 0.01 	0.0025
8053	22.35	 0.29 	0.0012
8054	19.11	 0.35 	0.0024
8055	21.32	 0.27 	0.0067
8056	14.9	 0.11 	0.0093
8057	11.23	 0.30 	0.0081
8058	18.38	 0.39 	0.0076
8059	6.87	 0.36 	0.0004
8060	22.94	 0.27 	0.0046
8061	9.17	 0.39 	0.002
8062	11.72	 0.33 	0.0083
8063	5.31	 0.21 	0.0028
8064	23.03	 0.31 	0.0075
8065	19.48	 0.38 	0.0007
8066	7.75	 0.19 	0.0077
8067	5.59	 0.16 	0.0033
8068	17.03	 0.30 	0.006
8069	2.04	 0.03 	0.0031
8070	11.37	 0.11 	0.0076
8071	20.62	 0.35 	0.0005
8072	19	 0.38 	0.0038
8073	19.25	 0.34 	0.0045
8074	2.39	 0.28 	0.0051
8075	20.17	 0.33 	0.0063
8076	16.25	 0.35 	0.0015
8077	2.38	 0.12 	0.0072
8078	6.34	 0.15 	0.0038
8079	4.63	 0.08 	0.0002
8080	3.74	 0.25 	0.0006
8081	12.79	 0.03 	0.0005
8082	7.35	 0.07 	0.0027
8083	21.67	 0.14 	0.0066
8084	2.26	 0.13 	0.0044
8085	18.25	 0.20 	0.0016
8086	0.34	 0.26 	0.0055
8087	10.49	 0.30 	0.0051
8088	9.23	 0.18 	0.0035
8089	23.55	 0.08 	0.0024
8090	24.75	 0.05 	0.0018
8091	8.52	 0.17 	0.006
8092	11.16	 0.30 	0.0006
8093	17.48	 0.32 	0.0015
8094	11.31	 0.24 	0.009
8095	24.52	 0.19 	0.0049
8096	14.01	 0.09 	0.0064
8097	15.32	 0.25 	0.0095
8098	14.03	 0.37 	0.0076
8099	20.07	 0.17 	0.0031
8100	15.91	 0.12 	0.0089
8101	12.13	 0.19 	0.0041
8102	16.88	 0.13 	0.0056
8103	16.48	 0.20 	0.0077
8104	5.17	 0.13 	0.0086
8105	13.41	 0.29 	0.0073
8106	17.18	 0.27 	0.0032
8107	8.69	 0.02 	0.0043
8108	18.19	 0.23 	0.0046
8109	17.46	 0.25 	0.0052
8110	15.74	 0.09 	0.0054
8111	11.75	 0.05 	0.002
8112	10.08	 0.09 	0.0073
8113	2.25	 0.36 	0.0002
8114	20.22	 0.22 	0.0059
8115	10.25	 0.16 	0.0033
8116	22.14	 0.18 	0.0079
8117	12.21	 0.25 	0.0027
8118	7.69	 0.31 	0.0052
8119	23.54	 0.25 	0.0051
8120	2.12	 0.09 	0.0072
8121	5.36	 0.35 	0.0087
8122	8.63	 0.09 	0.0079
8123	10.55	 0.07 	0.0017
8124	21.8	 0.07 	0.0015
8125	7.77	 0.20 	0.0098
8126	24.68	 0.10 	0.0045
8127	16.02	 0.06 	0.0006
8128	16.96	 0.14 	0.0029
8129	11.42	 0.16 	0.0033
8130	6.53	 0.20 	0.0041
8131	10.22	 0.10 	0.0061
8132	24.04	 0.40 	0.0059
8133	11.05	 0.08 	0.0082
8134	4.78	 0.09 	0.0001
8135	5.78	 0.14 	0.0008
8136	11.37	 0.09 	0.0058
8137	1.79	 0.03 	0.0061
8138	9.63	 0.09 	0.0006
8139	15.07	 0.39 	0.0025
8140	3.58	 0.22 	0.0022
8141	8.42	 0.36 	0.0094
8142	18.49	 0.31 	0.0003
8143	24.33	 0.15 	0.0061
8144	18.34	 0.04 	0.0027
8145	0.5	 0.20 	0.0059
8146	10.92	 0.28 	0.0079
8147	15.8	 0.09 	0.0025
8148	18.14	 0.39 	0.0002
8149	23.77	 0.17 	0.0009
8150	12.9	 0.26 	0.0095
8151	8.97	 0.38 	0.0081
8152	0.13	 0.21 	0.0061
8153	18.84	 0.11 	0.0047
8154	16.29	 0.31 	0.0027
8155	21.09	 0.36 	0.0086
8156	1.08	 0.21 	0.0088
8157	0.5	 0.25 	0.003
8158	24.81	 0.39 	0.0016
8159	18.57	 0.26 	0.0064
8160	12.67	 0.19 	0.0033
8161	22.89	 0.03 	0.0052
8162	22.23	 0.05 	0.0041
8163	5.35	 0.01 	0.0076
8164	6.62	 0.10 	0.0072
8165	12.29	 0.31 	0.0069
8166	20.43	 0.04 	0.0071
8167	7.21	 0.27 	0.0042
8168	24.94	 0.26 	0.0055
8169	7.31	 0.00 	0.0021
8170	8.66	 0.21 	0.0028
8171	1.05	 0.16 	0.0019
8172	18.59	 0.30 	0.0074
8173	17.8	 0.05 	0.0044
8174	21.57	 0.21 	0.0044
8175	3.02	 0.11 	0.003
8176	8.12	 0.13 	0.0035
8177	0.49	 0.18 	0.001
8178	22.5	 0.02 	0.0025
8179	7.29	 0.19 	0.0099
8180	10.12	 0.07 	0.0052
8181	11.92	 0.21 	0.0033
8182	6.37	 0.07 	0.0062
8183	23.59	 0.28 	0.0023
8184	12.29	 0.17 	0.0009
8185	20.67	 0.22 	0.0097
8186	5.02	 0.27 	0.0025
8187	4.89	 0.03 	0.0027
8188	21.48	 0.06 	0.0011
8189	17.41	 0.12 	0.0063
8190	0.49	 0.11 	0.0009
8191	23.36	 0.38 	0.0087
8192	13.13	 0.01 	0.0007
8193	8.72	 0.02 	0.0011
8194	7.65	 0.08 	0.0078
8195	9.74	 0.09 	0.0033
8196	3.22	 0.19 	0.0086
8197	5.01	 0.37 	0.0021
8198	16.55	 0.20 	0.0033
8199	6.99	 0.23 	0.0004
8200	22.84	 0.26 	0.001
8201	3.19	 0.33 	0.0023
8202	4.89	 0.09 	0.0011
8203	13.57	 0.19 	0.0078
8204	22.23	 0.05 	0.0007
8205	24.16	 0.13 	0.0098
8206	5.55	 0.24 	0.0093
8207	7.52	 0.20 	0.0053
8208	12.13	 0.39 	0.009
8209	24.31	 0.33 	0.0099
8210	18.83	 0.05 	0.0074
8211	18.8	 0.35 	0.0066
8212	12.76	 0.15 	0.0076
8213	5.69	 0.04 	0.0048
8214	5.67	 0.34 	0.0041
8215	15.54	 0.33 	0.0086
8216	0.78	 0.11 	0.0023
8217	7.6	 0.04 	0.0044
8218	21.82	 0.04 	0.0013
8219	3.64	 0.09 	0.0001
8220	22.62	 0.36 	0.0099
8221	8.31	 0.12 	0.0016
8222	15.33	 0.39 	0.0073
8223	4.04	 0.24 	0.0071
8224	18.99	 0.22 	0.0052
8225	12.19	 0.21 	0.0019
8226	9.08	 0.19 	0.0061
8227	12.6	 0.25 	0.0064
8228	4.71	 0.39 	0.0072
8229	5.38	 0.25 	0.0001
8230	10.89	 0.30 	0.0079
8231	2.48	 0.21 	0.0027
8232	2.31	 0.05 	0.0055
8233	23.03	 0.21 	0.007
8234	22.63	 0.08 	0.0037
8235	19.23	 0.17 	0.0036
8236	8.52	 0.25 	0.008
8237	9.7	 0.28 	0.008
8238	19.11	 0.05 	0.0045
8239	8.95	 0.20 	0.01
8240	21.21	 0.40 	0.0077
8241	4.25	 0.39 	0.0056
8242	18.47	 0.15 	0.0056
8243	7.99	 0.01 	0.0007
8244	21.52	 0.02 	0.0007
8245	23.42	 0.39 	0.0027
8246	20.35	 0.02 	0.0067
8247	22.09	 0.24 	0.0057
8248	0.67	 0.08 	0.0062
8249	5.25	 0.08 	0.0061
8250	6.52	 0.15 	0.0063
8251	23.21	 0.01 	0.0053
8252	7.01	 0.09 	0.0069
8253	0.44	 0.25 	0.0045
8254	23.55	 0.34 	0.0036
8255	19.2	 0.11 	0.006
8256	19.91	 0.06 	0.0059
8257	6.98	 0.20 	0.0084
8258	13.68	 0.20 	0.0065
8259	6.84	 0.39 	0.0075
8260	17.7	 0.15 	0.0013
8261	23.17	 0.28 	0.0081
8262	15.59	 0.01 	0.0086
8263	4.79	 0.08 	0.0074
8264	8.62	 0.35 	0.0096
8265	19.86	 0.25 	0.0068
8266	18.48	 0.09 	0.0081
8267	6.31	 0.30 	0.0067
8268	5.48	 0.12 	0.0007
8269	15.09	 0.28 	0.0064
8270	0.21	 0.27 	0.0019
8271	13.72	 0.11 	0.0033
8272	5.93	 0.30 	0.0044
8273	18.15	 0.36 	0.0022
8274	11.03	 0.11 	0.0039
8275	2.36	 0.07 	0.0081
8276	21.26	 0.02 	0.0021
8277	7.57	 0.33 	0.0004
8278	12.28	 0.09 	0.0046
8279	2.56	 0.18 	0.0011
8280	15.19	 0.28 	0.0004
8281	24.7	 0.20 	0.0041
8282	15.45	 0.02 	0.009
8283	21.21	 0.26 	0.0053
8284	19.36	 0.20 	0.003
8285	22.97	 0.13 	0.0017
8286	19.06	 0.20 	0.0099
8287	4.02	 0.15 	0.0031
8288	9.86	 0.12 	0.0069
8289	1.22	 0.26 	0.0059
8290	20.79	 0.04 	0.0099
8291	12.07	 0.03 	0.0013
8292	10.2	 0.28 	0.0046
8293	1.02	 0.24 	0.0006
8294	7	 0.22 	0.0052
8295	12.3	 0.11 	0.0097
8296	11.69	 0.11 	0.0037
8297	9.99	 0.16 	0.0087
8298	0.36	 0.02 	0.0034
8299	20.43	 0.37 	0.0095
8300	2.64	 0.40 	0.0088
8301	20.45	 0.08 	0.0054
